Date,CNH,JPY,KRW,THB,USD
2015-02-12,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-02-13,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-02-16,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-02-17,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-02-18,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-02-19,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-02-20,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-02-23,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-02-24,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-02-25,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-02-26,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-02-27,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-02,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-03,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-04,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-05,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-06,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-09,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-10,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-11,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-12,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-13,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-16,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-17,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-18,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-19,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-20,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-23,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-24,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-25,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-26,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-27,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-30,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-03-31,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-01,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-02,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-03,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-06,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-07,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-08,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-09,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-10,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-13,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-14,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-15,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-16,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-17,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-20,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-21,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-22,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-23,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-24,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-27,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-28,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-29,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-04-30,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-05-01,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-05-04,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-05-05,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-05-06,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-05-07,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-05-08,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-05-11,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-05-12,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-05-13,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-05-14,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-05-15,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-05-18,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-05-19,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-05-20,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-05-21,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-05-22,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-05-25,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-05-26,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-05-27,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-05-28,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-05-29,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-01,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-02,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-03,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-04,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-05,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-08,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-09,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-10,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-11,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-12,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-15,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-16,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-17,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-18,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-19,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-22,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-23,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-24,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-25,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-26,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-29,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-06-30,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-01,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-02,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-03,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-06,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-07,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-08,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-09,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-10,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-13,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-14,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-15,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-16,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-17,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-20,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-21,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-22,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-23,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-24,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-27,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-28,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-29,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-30,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-07-31,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-08-03,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-08-04,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-08-05,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-08-06,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-08-07,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-08-10,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-08-11,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-08-12,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-08-13,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-08-14,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-08-17,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-08-18,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-08-19,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-08-20,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-08-21,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-08-24,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-08-25,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-08-26,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-08-27,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-08-28,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-08-31,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-01,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-02,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-03,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-04,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-07,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-08,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-09,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-10,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-11,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-14,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-15,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-16,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-17,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-18,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-21,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-22,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-23,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-24,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-25,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-28,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-29,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-09-30,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-10-01,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-10-02,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-10-05,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-10-06,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-10-07,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-10-08,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-10-09,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-10-12,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-10-13,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-10-14,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
2015-10-15,10475624944355.2,4896994405353.29,1484488526271.8,407339040197.65,17608138000000.0
